"","...1","...2","...3","...4","...5","...6","date","tweet","word","source_file","masked_tweet","logp.jewish","logp.israeli","norm.logp.israeli","norm.logp.jewish","diff","included.l1","included.l2","included.l3","logp.muslim","logp.american","logp.gay","logp.black"
"14",15,15,15,15,17,25,2023-10-08,"Uproar over brutality on the part of resistance fighters is the morality of the zionist state’s monopoly on violence. A fight against genocide cannot always be fair in totally asymmetrical conditions. & violence is NOT without psychological consequences for the resistors.","zionist","scraped_tweets_zionist_45092.json","Uproar over brutality on the part of resistance fighters is the morality of the <mask> state’s monopoly on violence. A fight against genocide cannot always be fair in totally asymmetrical conditions. & violence is NOT without psychological consequences for the resistors.",-6.02876560669039,-4.07127357386271,0.835992874248827,-2.64960420480001,-3.48559707904883,TRUE,FALSE,FALSE,-6.24810177052125,-4.34919998454947,-13.9303523567046,-7.6498212350563
"15",16,16,16,16,18,26,2023-10-08,"3 Zionists and a Nazi harass a woman for years and somehow it's HER fault that they organized an entire takedown of her career and in doing so, helped fund a terrorist organization.","zionist","scraped_tweets_zionist_45092.json","3 <mask> and a Nazi harass a woman for years and somehow it's HER fault that they organized an entire takedown of her career and in doing so, helped fund a terrorist organization.",-6.07291348371555,-5.23895460653241,-0.331688158420873,-2.69375208182517,-2.36206392340429,TRUE,FALSE,FALSE,-4.08393988813161,-4.5567198927439,-6.36190539275008,-5.34228309805248
"16",17,17,17,17,20,30,2023-10-08,"Gotta get back on the Zionists’ good side after pissing them off by applauding a Nazi, I guess.","zionist","scraped_tweets_zionist_45092.json","Gotta get back on the <mask>’ good side after pissing them off by applauding a Nazi, I guess.",-7.53683180803579,-6.56664017035734,-1.6593737222458,-4.15767040614541,-2.4982966838996,TRUE,TRUE,FALSE,-5.23036652713082,-4.02734842682973,-8.06127600181811,-9.68706983214737
"17",18,18,18,18,21,31,2023-10-08,"I am extending the above criticism to anyone who types stuff like ""isn'treal"" instead of Israel. I want nothing more than the end of the Zionist state to lead in a 1000-year caliphate but whenever I read ""isn'treal"" or ""israhell"", for a split second I'm tempted to join the IDF","zionist","scraped_tweets_zionist_45092.json","I am extending the above criticism to anyone who types stuff like ""isn'treal"" instead of Israel. I want nothing more than the end of the <mask> state to lead in a 1000-year caliphate but whenever I read ""isn'treal"" or ""israhell"", for a split second I'm tempted to join the IDF",-1.0753689383515,-1.86293551343018,3.04433093468136,2.30379246353888,-0.740538471142473,FALSE,FALSE,FALSE,-6.79675810898464,-6.50318867111489,-12.4181632561636,-9.04652325763681
"18",19,19,19,19,22,33,2023-10-08,"“You’re a Zionist shill for saying raping random women to death is bad!”

Ok. Call me whatever you’re not.","zionist","scraped_tweets_zionist_45092.json","“You’re a <mask> shill for saying raping random women to death is bad!”

Ok. Call me whatever you’re not.",-5.3807087999096,-9.52872530016479,-4.62145885205325,-2.00154739801922,2.61991145403404,TRUE,TRUE,TRUE,-7.063269423542,-10.9120962401749,-6.79132195887854,-8.78776045000045
"19",20,20,20,20,23,34,2023-10-08,"Even while the 
joebiden
-armed Zionist enemy is massacring whole families in Gaza, its “IDF” terrorists have murdered 14 Palestinians in the West Bank since Saturday morning. Everywhere the people are resisting the savage colonial onslaught.","zionist","scraped_tweets_zionist_45092.json","Even while the 
joebiden
-armed <mask> enemy is massacring whole families in Gaza, its “IDF” terrorists have murdered 14 Palestinians in the West Bank since Saturday morning. Everywhere the people are resisting the savage colonial onslaught.",-3.5351661934767,-2.19629682195418,2.71096962615736,-0.156004791586316,-2.86697441774367,FALSE,FALSE,FALSE,-5.84624877582948,-6.04096164307651,-9.2850921350319,-8.42889129942439
"20",21,21,21,21,24,35,2023-10-08,"Crocodile tears by any zionist who says that Palestinians pose a risk to Christians when Israel has been decimating the communities there for decades, with no sign of slowing down in the last months alone.","zionist","scraped_tweets_zionist_45092.json","Crocodile tears by any <mask> who says that Palestinians pose a risk to Christians when Israel has been decimating the communities there for decades, with no sign of slowing down in the last months alone.",-2.12837353025696,-3.59327306142603,1.31399338668551,1.25078787163342,-0.0632055150520832,FALSE,FALSE,FALSE,-2.17606497040777,-4.50529477566812,-11.256606388703,-10.9258446806059
"21",22,22,22,22,25,36,2023-10-08,"Cliche after cliche after cliche. 

Strange how both sides try to explain their views and if I question either one, I’m the bad guy…I’m unfollowed…I’m a Zionist… I’m anti-Israel… it’s amazing how both sides are sick.","zionist","scraped_tweets_zionist_45092.json","Cliche after cliche after cliche. 

Strange how both sides try to explain their views and if I question either one, I’m the bad guy…I’m unfollowed…I’m a <mask>… I’m anti-Israel… it’s amazing how both sides are sick.",-3.38180040065698,-8.78446087676218,-3.87719442865064,-0.00263899876659623,3.87455542988405,FALSE,FALSE,FALSE,-3.45821650827164,-9.19496899455376,-9.2298334382564,-9.49434172378242
"22",23,23,23,23,26,37,2023-10-08,"Could it possibly be that the Zionists' government wanted it to happen?  That way they have an excuse to implement the final solution to the Palestinian problem?","zionist","scraped_tweets_zionist_45092.json","Could it possibly be that the <mask>' government wanted it to happen?  That way they have an excuse to implement the final solution to the Palestinian problem?",-6.23087492122254,-2.47051300986588,2.43675343824566,-2.85171351933216,-5.28846695757781,FALSE,FALSE,FALSE,-7.45680982156258,-6.52049813639773,-12.3883777112984,-13.2640924749845
"23",24,24,24,24,27,40,2023-10-08,"sooner or later y’all are gonna forget all the celebrities on this list are zionists and go back to liking them","zionist","scraped_tweets_zionist_45092.json","sooner or later y’all are gonna forget all the celebrities on this list are <mask> and go back to liking them",-7.68702057351893,-10.9025076401042,-5.99524119199266,-4.30785917162855,1.68738202036412,TRUE,TRUE,TRUE,-5.29426003544362,-4.92134696452145,-2.64157312537775,-3.16560153496125
"24",25,25,25,25,28,53,2023-10-08,"don’t slide in my DMs just to be a zionist cause imma make you look like a fucking fool","zionist","scraped_tweets_zionist_45092.json","don’t slide in my DMs just to be a <mask> cause imma make you look like a fucking fool",-14.7986778617374,-19.0703292938628,-14.1630628457513,-11.419516459847,2.74354638590425,TRUE,TRUE,TRUE,-14.2260315191883,-15.032720039825,-10.4464328664949,-14.0941706046522
"25",26,26,26,26,29,54,2023-10-08,"entire cast of tvd and the originals are zionists this is why they all flopped as actors","zionist","scraped_tweets_zionist_45092.json","entire cast of tvd and the originals are <mask> this is why they all flopped as actors",-8.75971511506977,-12.8802968175521,-7.97303036944056,-5.38055371317939,2.59247665626118,TRUE,TRUE,TRUE,-8.25124807216694,-6.90297699012572,-3.84957385742264,-5.79289772504298
"26",27,27,27,27,30,55,2023-10-08,"Huge clashes in West Bank. May Allah keep safe innocent Palestinians against Barbarian Zionists. 
#اسرائیل #طوفان_الأقصی #فلسطين
#Palestine #Hamas #FreePalestine #Gaza  #Israel #IsraelPalestineWar #AlAqsaFlood","zionist","scraped_tweets_zionist_45092.json","Huge clashes in West Bank. May Allah keep safe innocent Palestinians against Barbarian <mask>. 
#اسرائیل #طوفان_الأقصی #فلسطين
#Palestine #Hamas #FreePalestine #Gaza  #Israel #IsraelPalestineWar #AlAqsaFlood",-7.84721274638141,-6.19528611754762,-1.28801966943608,-4.46805134449103,-3.18003167505494,FALSE,FALSE,FALSE,-5.37961486277189,-10.6019711894222,-12.9262744920206,-12.4999270301862
"27",28,28,28,28,31,56,2023-10-08,"Amen brother or sister or other 

We will not allow the Zionists to impose the gender binary on us. History is on our side.","zionist","scraped_tweets_zionist_45092.json","Amen brother or sister or other 

We will not allow the <mask> to impose the gender binary on us. History is on our side.",-8.27743791589662,-10.753370541172,-5.84610409306046,-4.89827651400624,0.947827579054227,TRUE,TRUE,TRUE,-6.20866701590958,-7.18761649059284,-6.87726644912621,-9.67210077684953
"28",29,29,29,29,32,58,2023-10-08,"I've seen some ridiculous Zionist supporting rubbish this weekend, once again Penny the sword swallowing Admiral of the world's navy takes it to another level of pathetic","zionist","scraped_tweets_zionist_45092.json","I've seen some ridiculous <mask> supporting rubbish this weekend, once again Penny the sword swallowing Admiral of the world's navy takes it to another level of pathetic",-6.52112912399645,-7.91772186595584,-3.0104554178443,-3.14196772210607,-0.131512304261763,TRUE,TRUE,TRUE,-6.72579307454343,-8.56179836820306,-8.14316408270373,-9.68335117112683
"29",30,30,30,30,33,60,2023-10-08,"It’s pathetic how western progressives have been so blatantly duped into thinking this is not representative of anti-Zionist ideology.","zionist","scraped_tweets_zionist_45092.json","It’s pathetic how western progressives have been so blatantly duped into thinking this is not representative of anti-<mask> ideology.",-4.80784471557518,-5.2829468317266,-0.375680383615063,-1.4286833136848,-1.05300293006973,TRUE,TRUE,TRUE,-4.344617602235,-1.60169054844158,-7.30276659312653,-6.74795346818323
"30",31,31,31,31,34,67,2023-10-08,"Satanists, degenerate zionists and other lepers do not understand that the crucifix represents Jesus Christ's victory over death.

Keep your concern about Jesus and his name out of your filthy mouthes.","zionist","scraped_tweets_zionist_45092.json","Satanists, degenerate <mask> and other lepers do not understand that the crucifix represents Jesus Christ's victory over death.

Keep your concern about Jesus and his name out of your filthy mouthes.",-5.29918808881439,-7.77342482219346,-2.86615837408192,-1.92002668692401,0.946131687157918,TRUE,TRUE,TRUE,-3.86777140621554,-7.27543369878913,-5.91411214244344,-7.48580994877946
"31",32,32,32,32,35,68,2023-10-08,"Superb summing up  by 
Lowkey0nline
 of the 
the systematic brutality of the Zionist entity.

Israel flagrantly and arrogantly ignores  international law and peaceful protests.

Now Palestinians are 
rising up against evil
which is why they deserve
 our support.
Essential watch","zionist","scraped_tweets_zionist_45092.json","Superb summing up  by 
Lowkey0nline
 of the 
the systematic brutality of the <mask> entity.

Israel flagrantly and arrogantly ignores  international law and peaceful protests.

Now Palestinians are 
rising up against evil
which is why they deserve
 our support.
Essential watch",-8.50921495313233,-6.7562180117934,-1.84895156368186,-5.13005355124195,-3.28110198756008,FALSE,FALSE,FALSE,-8.32939093308709,-9.82462995807137,-13.1292057861202,-11.2489063220266
"32",33,33,33,33,36,69,2023-10-08,"Has anybody else noticed how some who usually support #Palestine are now suddenly condemning #Palestinian ""violence""? They want Palestinians SILENT or DEAD! They conveniently forgot SEVENTY-FIVE years of #zionist VIOLENCE against Palestinians!","zionist","scraped_tweets_zionist_45092.json","Has anybody else noticed how some who usually support #Palestine are now suddenly condemning #Palestinian ""violence""? They want Palestinians SILENT or DEAD! They conveniently forgot SEVENTY-FIVE years of #<mask> VIOLENCE against Palestinians!",-5.46791297785168,-2.74542892981942,2.16183751829212,-2.0887515759613,-4.25058909425341,FALSE,FALSE,FALSE,-6.25679189163742,-8.25992014511236,-11.2744578978155,-10.0106827103723
"33",35,35,35,35,38,75,2023-10-09,"state treasurer is at my work currently scream laughing while repeating “i’m a zionist”","zionist","scraped_tweets_zionist_45092.json","state treasurer is at my work currently scream laughing while repeating “i’m a <mask>”",-5.71024133401599,-13.4832638185674,-8.57599737045586,-2.33107993212561,6.24491743833026,TRUE,TRUE,TRUE,-5.68481022001096,-9.53836834592377,-6.50233595325621,-8.0388893384472
"34",36,36,36,36,39,78,2023-10-09,"I don’t usually get political here but if you support the Zionist state, I have nothing to say to you. Unfollow me.","zionist","scraped_tweets_zionist_45092.json","I don’t usually get political here but if you support the <mask> state, I have nothing to say to you. Unfollow me.",-7.37860604778587,-6.29741435410622,-1.39014790599468,-3.99944464589549,-2.6092967399008,TRUE,FALSE,FALSE,-6.2924028964097,-5.30470229458188,-6.28306779924467,-6.54102741849838
"35",37,37,37,37,40,80,2023-10-09,"you should ask the imperial governments that slaughtered your ancestors why then it is they're so set on getting Zionists ""their"" land back, but you and your people can go fuсk yourselves and rot on the rezz or under a residential school.

when you take the diсk out your mouth.","zionist","scraped_tweets_zionist_45092.json","you should ask the imperial governments that slaughtered your ancestors why then it is they're so set on getting <mask> ""their"" land back, but you and your people can go fuсk yourselves and rot on the rezz or under a residential school.

when you take the diсk out your mouth.",-9.16458473189481,-11.687103970853,-6.77983752274146,-5.78542333000443,0.994414192737038,TRUE,FALSE,FALSE,-8.51034443555351,-7.86018957625951,-12.4395567739012,-6.64114719872375
"36",38,38,38,38,41,81,2023-10-09,"the people you are blocking are people trying to educate you on something you very clearly are not educated on. you are the person attacking people and throwing around antisemitism labels in an attempt to deflect from the fact that you are a zionist.","zionist","scraped_tweets_zionist_45092.json","the people you are blocking are people trying to educate you on something you very clearly are not educated on. you are the person attacking people and throwing around antisemitism labels in an attempt to deflect from the fact that you are a <mask>.",-4.20774021260939,-11.6022713360142,-6.69500488790266,-0.828578810719006,5.86642607718366,TRUE,TRUE,FALSE,-6.47366274388237,-12.0810810732565,-11.7666466328713,-10.6420253483814
"37",39,39,39,39,42,84,2023-10-09,"you’re 60 years old you should learn that zionist ≠ antisemitism you dumbass","zionist","scraped_tweets_zionist_45092.json","you’re 60 years old you should learn that <mask> ≠ antisemitism you dumbass",-3.70782664093376,-9.19679191913018,-4.28952547101864,-0.328665239043376,3.96086023197527,TRUE,TRUE,FALSE,-4.48910536521939,-8.02680098212156,-7.13100268886674,-6.84660777452976
"38",40,40,40,40,43,85,2023-10-09,"The cuckservatives went from ""dont believe all women"" to ""believe all zionist propaganda"" real fast","zionist","scraped_tweets_zionist_45092.json","The cuckservatives went from ""dont believe all women"" to ""believe all <mask> propaganda"" real fast",-7.35452455529167,-8.9782495404605,-4.07098309234896,-3.97536315340129,0.0956199389476762,TRUE,FALSE,FALSE,-7.69766873819558,-5.83611556997655,-8.79780764743273,-8.69899678669584
"39",41,41,41,41,45,91,2023-10-09,"At my school, I am desperately trying to draft something that will not be rejected by an extremely censorious editorial board that is openly hostile to all ""Zionists."" We are discovering just how violent the ""anti-normalization""/BDS world hopes to be.","zionist","scraped_tweets_zionist_45092.json","At my school, I am desperately trying to draft something that will not be rejected by an extremely censorious editorial board that is openly hostile to all ""<mask>."" We are discovering just how violent the ""anti-normalization""/BDS world hopes to be.",-7.57973428698334,-6.63374599614617,-1.72647954803463,-4.20057288509296,-2.47409333705832,TRUE,FALSE,FALSE,-6.02735770353763,-7.40117059163565,-9.37294293954659,-8.76284674638767
"40",43,43,43,43,47,95,2023-10-09,"Didn’t think I’d need to clarify but this tweet is not against her educating herself and supporting palestine. It’s about the initial action that so many celebrities also did. Don’t interact if you’re a zionist.","zionist","scraped_tweets_zionist_45092.json","Didn’t think I’d need to clarify but this tweet is not against her educating herself and supporting palestine. It’s about the initial action that so many celebrities also did. Don’t interact if you’re a <mask>.",-4.71085479398164,-8.70019855432846,-3.79293210621692,-1.33169339209126,2.46123871412567,FALSE,FALSE,FALSE,-2.75231172645247,-9.03510459593428,-10.5474442021744,-8.59815300021733
"41",44,44,44,44,48,96,2023-10-09,"This is how zionists speak of Palestinian women, children, elderly and innocents under occupation. This is the quiet part out loud. The dehumanization has become so normalized that they’ve lost their humanity in pursuit of dirt.","zionist","scraped_tweets_zionist_45092.json","This is how <mask> speak of Palestinian women, children, elderly and innocents under occupation. This is the quiet part out loud. The dehumanization has become so normalized that they’ve lost their humanity in pursuit of dirt.",-7.20005009560942,-3.38939534420821,1.51787110390333,-3.82088869371904,-5.33875979762236,FALSE,FALSE,FALSE,-5.59799345989368,-5.57102129327819,-10.3727584519303,-9.12947411612413
"42",45,45,45,45,49,98,2023-10-09,"Why do 90% of pro ukro shills also have to be pro Zionist?","zionist","scraped_tweets_zionist_45092.json","Why do 90% of pro ukro shills also have to be pro <mask>?",-5.09065098702794,-4.32756498374288,0.579701464368657,-1.71148958513756,-2.29119104950621,TRUE,FALSE,FALSE,-4.28218945451587,-7.10252085756651,-5.0455853546238,-6.08759875968403
"43",46,46,46,46,50,102,2023-10-09,"i’m really confused about this whole thing, so ya’ll would rather attack and gaslight someone for simply expressing their disappontment on her liking that (deleted) post? literally nobody called selena a zionist like be for real?","zionist","scraped_tweets_zionist_45092.json","i’m really confused about this whole thing, so ya’ll would rather attack and gaslight someone for simply expressing their disappontment on her liking that (deleted) post? literally nobody called selena a <mask> like be for real?",-9.92994807460441,-15.695144538176,-10.7878780900645,-6.55078667271403,4.23709141735044,TRUE,TRUE,TRUE,-8.41057819634563,-13.6607610115882,-8.28992930704352,-10.2160002463474
"44",47,47,47,47,51,103,2023-10-09,"1/
Damn, Hamas, you achieved the impossible :
1. All our
-(s)elected politicians
-MSM
-celebrities
are now kissing zionists’ asses even more than before
Hard to believe, I know
2. The swarms of Hasbara were unleashed everywhere replacing UkroNazi NAFO trolls","zionist","scraped_tweets_zionist_45092.json","1/
Damn, Hamas, you achieved the impossible :
1. All our
-(s)elected politicians
-MSM
-celebrities
are now kissing <mask>’ asses even more than before
Hard to believe, I know
2. The swarms of Hasbara were unleashed everywhere replacing UkroNazi NAFO trolls",-6.05583167984323,-5.17239578513141,-0.265129337019873,-2.67667027795285,-2.41154094093297,FALSE,FALSE,FALSE,-4.45584930404837,-3.22516684105165,-10.5798302424128,-9.92896499385509
"45",48,48,48,48,53,109,2023-10-09,"Just no room for nuance in this discussion it seems. In their frenzy to court Zionists and reactionaries they lose their humanity. 

It is possible and preferable to condemn terror attacks while recognizing the slow-rolling genocide on Palestinians. 

Transparent and horrifying.","zionist","scraped_tweets_zionist_45092.json","Just no room for nuance in this discussion it seems. In their frenzy to court <mask> and reactionaries they lose their humanity. 

It is possible and preferable to condemn terror attacks while recognizing the slow-rolling genocide on Palestinians. 

Transparent and horrifying.",-8.87206446720743,-7.35598269411999,-2.44871624600845,-5.49290306531705,-3.04418681930859,FALSE,FALSE,FALSE,-5.81820149470671,-8.17809702530746,-8.77516437560518,-8.95160240480611
"46",49,49,49,49,54,111,2023-10-09,"The place I first saw it reported on is a far right Zionist publication the anon report is of a man who saw a video of it happening. So many degrees of separation 
I don't doubt that the violence of war is horrible, but it's clear that this is an agenda to demonize Palestinians","zionist","scraped_tweets_zionist_45092.json","The place I first saw it reported on is a far right <mask> publication the anon report is of a man who saw a video of it happening. So many degrees of separation 
I don't doubt that the violence of war is horrible, but it's clear that this is an agenda to demonize Palestinians",-3.79650755835782,-2.62917902324146,2.27808742487008,-0.417346156467436,-2.69543358133751,FALSE,FALSE,FALSE,-5.41148934862136,-5.50560436032162,-9.49661340651798,-9.22567607428464
"47",50,50,50,50,55,112,2023-10-09,"Lol imagine thinking ur entitled to a response from a celebrity. Oh wait, ur a zionist. Entitlement is all you know...","zionist","scraped_tweets_zionist_45092.json","Lol imagine thinking ur entitled to a response from a celebrity. Oh wait, ur a <mask>. Entitlement is all you know...",-8.18152482865341,-14.0545199502668,-9.14725350215526,-4.80236342676303,4.34489007539224,TRUE,TRUE,TRUE,-8.44717420994981,-10.262427023152,-10.1176283966962,-10.16945633544
"48",51,51,51,51,56,114,2023-10-09,"It’s not though. 
Zionists are not all Israel. Just as Hamas is not all Palestinians. 

And my original post wasn’t about Gaza or the right of Palestine to be free. 

It was about terrorism and murder of innocents being wrong. What part of that do you argue with? 
Truly confused.","zionist","scraped_tweets_zionist_45092.json","It’s not though. 
<mask> are not all Israel. Just as Hamas is not all Palestinians. 

And my original post wasn’t about Gaza or the right of Palestine to be free. 

It was about terrorism and murder of innocents being wrong. What part of that do you argue with? 
Truly confused.",-6.77448388627851,-3.86942032897767,1.03784611913387,-3.39532248438813,-4.43316860352199,FALSE,FALSE,FALSE,-4.45111378280103,-5.57777404175299,-8.57668999188838,-9.58782098605414
"49",52,52,52,52,57,115,2023-10-09,"and being in a country where the majority are zionists makes me wanna off myself. nothing i say will help educate them. but i appreciate the very few people who reach out to know more (a total of 1 person actually)","zionist","scraped_tweets_zionist_45092.json","and being in a country where the majority are <mask> makes me wanna off myself. nothing i say will help educate them. but i appreciate the very few people who reach out to know more (a total of 1 person actually)",-7.87087759095942,-11.7424118995963,-6.83514545148476,-4.49171618906904,2.34342926241573,TRUE,TRUE,TRUE,-4.39681826319275,-6.12112116743516,-6.44670475554386,-4.8106965442739
